id,owner_type,owner_id,effect_type,target,key,op,value,chance,notes
fx_0001,action,dock_work,stat,,money,add,24,1,
fx_0002,action,dock_work,stat,,network_base,add,1,1,
fx_0003,action,dock_work,stat,,trust,add,1,1,
fx_0004,action,dock_work,stat,,suspicion,add,0,1,W6: basic work no heat
fx_0005,action,dock_chat,stat,,money,add,-2,1,
fx_0009,action,dock_watch_manifest,stat,,intel,add,5,1,
fx_0010,action,dock_watch_manifest,stat,,suspicion,add,4,1,
fx_0011,action,dock_report,stat,,trust,add,4,1,
fx_0015,action,dock_bribe_clerk,stat,,money,add,-25,1,
fx_0019,action,dock_check_board,stat,,intel,add,4,1,
fx_0020,action,dock_check_board,stat,,network_elite,add,1,1,
fx_0021,action,dock_check_board,stat,,stock_price,add,1,1,
fx_0030,action,co_work,stat,,money,add,14,1,
fx_0031,action,co_work,stat,,network_base,add,1,1,
fx_0032,action,co_work,stat,,trust,add,3,1,
fx_0037,action,co_recruit_elder,stat,,money,add,-20,1,
fx_0038,action,co_recruit_elder,stat,,intel,add,2,1,
fx_0039,action,co_recruit_elder,stat,,network_base,add,6,1,
fx_0040,action,co_recruit_elder,stat,,trust,add,2,1,
fx_0041,action,co_recruit_elder,stat,,suspicion,add,3,1,
fx_0068,action,co_bribe_accountant,stat,,money,add,-40,1,
fx_0072,action,co_frame_finance,stat,,money,add,-10,1,
fx_0073,action,co_frame_finance,stat,,intel,add,-10,1,
fx_0079,action,home_organize,stat,,intel,add,6,1,
fx_0080,action,home_organize,stat,,suspicion,add,-2,1,
fx_0081,action,home_plan,stat,,intel,add,2,1,
fx_0082,action,home_plan,stat,,suspicion,add,-1,1,
fx_0100,action,rival_plot_poach,stat,,money,add,-10,1,
fx_0101,action,rival_plot_poach,stat,,network_elite,add,3,1,
fx_0102,action,rival_plot_poach,stat,,suspicion,add,8,1,
fx_0117,action,ex_trade,stat,,network_elite,add,1,1,
fx_0118,action,ex_trade,stat,,suspicion,add,1,1,
